id,title,description,status,priority,creator,responsible,end_date,data_creation,update_date,createdAt,updatedAt
3,Задача,нр5еп,выполняется,высокий,8,8,2022-11-22 19:00:00+00,2022-11-12 09:30:33.932+00,2022-11-12 09:39:32.133+00,2022-11-12 09:30:56.768+00,2022-11-12 09:39:39.696+00
1,Обновление данных,Добавить обновление данных,выполнена,высокий,7,8,2022-12-14 19:00:00+00,2022-11-11 20:26:21.031+00,2022-11-12 19:15:01.346+00,2022-11-11 20:35:38.119+00,2022-11-12 19:15:27.371+00
8,Задача23,23,к выполнению,средний,7,10,2022-11-12 19:00:00+00,2022-11-12 19:14:56.02+00,2022-11-12 19:14:56.02+00,2022-11-12 19:22:16.865+00,2022-11-12 19:22:16.865+00
9,Очень важно,авав,отменена,низкий,7,10,2022-11-03 19:00:00+00,2022-11-12 19:22:56.382+00,2022-11-12 19:22:56.382+00,2022-11-12 19:23:37.641+00,2022-11-12 19:23:37.641+00
4,Удаление элемента,Сделать,выполняется,высокий,7,7,2022-11-12 19:00:00+00,2022-11-12 11:43:30.095+00,2022-11-12 19:24:04.582+00,2022-11-12 11:43:59.977+00,2022-11-12 19:30:25.286+00
2,Добавление элемента,всвуму,к выполнению,средний,7,9,2022-11-09 19:00:00+00,2022-11-11 20:49:22.943+00,2022-11-12 20:09:38.977+00,2022-11-11 20:50:25.967+00,2022-11-12 20:11:22.915+00
6,Добавить задачу,какое-то описание,выполнена,средний,7,8,2022-11-24 19:00:00+00,2022-11-12 18:30:55.816+00,2022-11-12 18:30:55.816+00,2022-11-12 18:31:31.157+00,2022-11-12 20:12:21.635+00
7,Задача,23,выполнена,высокий,7,10,2022-11-12 19:00:00+00,2022-11-12 19:14:56.02+00,2022-11-12 19:14:56.02+00,2022-11-12 19:21:37.865+00,2022-11-12 20:18:25.997+00
5,Группировка элементов,группировать,отменена,высокий,7,9,2022-11-12 19:00:00+00,2022-11-12 14:07:55.596+00,2022-11-12 14:07:55.596+00,2022-11-12 14:08:28.374+00,2022-11-12 20:33:46.908+00
10,Пагинация,Сделать пагинацию,выполняется,средний,7,10,2022-11-15 19:00:00+00,2022-11-12 21:25:21.326+00,2022-11-12 21:25:21.326+00,2022-11-12 21:32:51.659+00,2022-11-12 21:32:51.659+00
11,Пагинация??,Сделать пагинацию,выполняется,средний,7,10,2022-11-07 19:00:00+00,2022-11-12 21:25:21.326+00,2022-11-12 21:25:21.326+00,2022-11-12 21:33:05.612+00,2022-11-12 21:33:05.612+00
12,Пагинация??,Сделать пагинацию,выполняется,средний,7,10,2022-11-17 19:00:00+00,2022-11-12 21:25:21.326+00,2022-11-12 21:25:21.326+00,2022-11-12 21:33:41.052+00,2022-11-12 21:33:41.052+00
